Name,Level,Type,,,,,sweet,sour,salty,bitter,umami,spicy,Toughness,Dryness,Chewiness,Protein,Carbohydrates,Fats,Vitamins,Minerals,Caffeine,Alcohol,Calories
Red Mushroom,0,mushroom,,,,,1,1,0,2,8,0,3,2,4,3,2,0,5,4,0,0,2
Blackberry,0,berry,,,,,7,5,0,2,0,0,1,1,1,1,8,0,7,4,0,0,3
Garlic,0,herb,,,,,1,1,0,3,2,5,3,2,1,2,2,0,8,5,0,0,2
Acorn,0,nut,,,,,1,1,0,7,2,0,8,7,6,3,6,4,2,4,0,0,7
Hazelnut,0,nut,,,,,3,0,0,1,2,0,7,8,5,6,4,8,5,6,0,0,8
Pine Nut,0,nut,,,,,2,0,0,1,3,0,2,3,3,5,4,8,4,4,0,0,7
Elderberry,0,berry,,,,,4,6,0,3,0,0,1,1,1,1,5,0,8,4,0,0,3
White Mushroom,0,mushroom,,,,,2,1,0,1,9,0,3,2,4,4,2,0,5,4,0,0,2
Boar,0,meat,,,,,1,0,1,0,9,0,7,4,8,9,0,5,4,5,0,0,8
Venison,0,meat,,,,,1,0,1,0,9,0,8,6,8,9,0,3,7,8,0,0,7
Rabbit,0,meat,,,,,1,0,1,0,7,0,3,4,4,8,0,2,6,6,0,0,5
Squirrel,0,meat,,,,,1,0,1,0,8,0,6,5,7,8,0,4,5,5,0,0,6
Turkey,0,meat,,,,,1,0,1,0,8,0,4,5,6,8,0,3,7,6,0,0,7
Blue Mushroom,0,mushroom,,,,,0,0,0,1,10,0,3,3,4,2,3,0,7,6,0,0,3
Huckleberry,0,berry,,,,,8,7,0,0,0,0,0,0,0,0,5,0,8,4,0,0,3
Duck,0,meat,,,,,1,0,1,0,8,0,4,3,6,8,0,8,6,5,0,0,8
Cedar Nut,0,nut,,,,,2,0,0,2,1,0,10,10,7,5,4,8,5,7,0,0,9
Apple,0,fruit,,,,,7,4,0,1,1,0,1,1,2,1,7,0,8,4,0,0,4
Grapes,0,fruit,,,,,8,2,0,0,1,0,1,1,1,0,5,0,7,3,0,0,3
Plum,0,fruit,,,,,6,5,0,1,1,0,1,2,2,1,6,0,7,3,0,0,4
Pear,0,fruit,,,,,7,3,0,1,1,0,1,1,2,1,7,0,7,4,0,0,4
Orange,0,fruit,,,,,8,2,0,0,1,0,1,1,1,1,8,0,8,3,0,0,4
Carrot,0,root,,,,,6,1,0,0,2,0,3,4,4,1,6,0,9,5,0,0,3
Radish,0,root,,,,,2,1,0,1,1,7,2,3,2,1,3,0,6,4,0,0,2
Turnip,0,root,,,,,3,1,0,2,2,0,4,5,3,1,4,0,7,5,0,0,3
Beet,0,root,,,,,5,1,0,2,2,0,4,4,4,2,5,0,8,6,0,0,4
Yam,0,root,,,,,4,0,0,2,3,0,5,6,5,1,8,1,7,5,0,0,5
Egg,0,egg,,,,,1,0,1,0,8,0,1,1,1,8,1,6,7,7,0,0,6
Wheat,0,grain,,,,,2,1,0,1,2,0,4,8,2,4,8,1,3,3,0,0,5
Wheat,0,grain,,,,,2,1,0,1,2,0,4,8,2,4,8,1,3,3,0,0,5
Wheat,0,grain,,,,,2,1,0,1,2,0,4,8,2,4,8,1,3,3,0,0,5
Barley,0,grain,,,,,2,1,0,2,3,0,5,7,2,3,8,1,3,4,0,0,5
Oat,0,grain,,,,,3,1,0,1,2,0,4,8,3,4,7,2,4,3,0,0,6
Rice,0,grain,,,,,1,1,0,0,3,0,3,7,2,3,9,0,2,3,0,0,5
Quail Egg,0,egg,,,,,3,0,1,0,10,2,1,0,3,9,2,4,8,8,0,0,4
Quail Egg,0,egg,,,,,3,0,1,0,10,2,1,0,3,9,2,4,8,8,0,0,4
Quail Egg,0,egg,,,,,3,0,1,0,10,2,1,0,3,9,2,4,8,8,0,0,4
Water,0,liquid,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water,0,liquid,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water,0,liquid,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water,0,liquid,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water,0,liquid,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water,0,liquid,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water,0,liquid,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
